Coordinate,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
,0,0,0.0,0.0,,,00:00
,0,0,0.0,0.0,,,00:02
,0,0,0.0,0.0,,,00:04
,0,0,0.0,0.0,,,00:06
,0,0,0.0,0.0,,,00:08
,0,0,0.0,0.0,,,00:10
,0,0,0.0,0.0,,,00:12
,0,0,0.0,0.0,,,00:14
,0,0,0.0,0.0,,,00:16
,0,0,0.0,0.0,,,00:18
,0,0,0.0,0.0,,,00:20
,0,0,0.0,0.0,,,00:22
,0,0,0.0,0.0,,,00:24
,0,0,0.0,0.0,,,00:26
,0,0,0.0,0.0,,,00:28
,0,0,0.0,0.0,,,00:30
,0,0,0.0,0.0,,,00:32
,0,0,0.0,0.0,,,00:34
,0,0,0.0,0.0,,,00:36
,0,0,0.0,0.0,,,00:38
,0,0,0.0,0.0,,,00:40
,0,0,0.0,0.0,,,00:42
,0,0,0.0,0.0,,,00:44
,0,0,0.0,0.0,,,00:46
,0,0,0.0,0.0,,,00:48
,0,0,0.0,0.0,,,00:50
,0,0,0.0,0.0,,,00:52
,0,0,0.0,0.0,,,00:54
,0,0,0.0,0.0,,,00:56
,0,0,0.0,0.0,,,00:58
,0,0,0.0,0.0,,,01:00
,0,0,0.0,0.0,,,01:02
,0,0,0.0,0.0,,,01:04
,0,0,0.0,0.0,,,01:06
,0,0,0.0,0.0,,,01:08
,0,0,0.0,0.0,,,01:10
,0,0,0.0,0.0,,,01:12
,0,0,0.0,0.0,,,01:14
,0,0,0.0,0.0,,,01:16
,0,0,0.0,0.0,,,01:18
,0,0,0.0,0.0,,,01:20
,0,0,0.0,0.0,,,01:22
,0,0,0.0,0.0,,,01:24
,0,0,0.0,0.0,,,01:26
,0,0,0.0,0.0,,,01:28
,0,0,0.0,0.0,,,01:30
,0,0,0.0,0.0,,,01:32
,0,0,0.0,0.0,,,01:34
,0,0,0.0,0.0,,,01:36
,0,0,0.0,0.0,,,01:38
,0,0,0.0,0.0,,,01:40
,0,0,0.0,0.0,,,01:42
,0,0,0.0,0.0,,,01:44
,0,0,0.0,0.0,,,01:46
,0,0,0.0,0.0,,,01:48
,0,0,0.0,0.0,,,01:50
,0,0,0.0,0.0,,,01:52
,0,0,0.0,0.0,,,01:54
,0,0,0.0,0.0,,,01:56
,0,0,0.0,0.0,,,01:58
,0,0,0.0,0.0,,,02:00
,0,0,0.0,0.0,,,02:02
,0,0,0.0,0.0,,,02:04
,0,0,0.0,0.0,,,02:06
,0,0,0.0,0.0,,,02:08
,0,0,0.0,0.0,,,02:10
,0,0,0.0,0.0,,,02:12
,0,0,0.0,0.0,,,02:14
,0,0,0.0,0.0,,,02:16
"[157.14893789285716, -30.209106107142862]",22,6,182.427,82.147,,,02:18
"[157.0799079, -30.178974599999997]",9,1,65.575,12.841,,,02:20
"[157.1379459655172, -30.228013413793104]",23,6,171.102,104.334,,,02:22
"[157.10008810714285, -30.22520778571428]",27,1,145.96399999999997,19.8,False,-0.0554529597975392,02:24
