0,1,2,3,4,5,6,7,8,9
441,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0
701,0,0,0,0,0,0,0,0,0
681,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0
748,0,0,0,0,0,0,0,0,0
868,0,0,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0,0,0
677,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0
1116,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0
606,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0
437,31,0,0,0,0,0,0,0,0
483,38,0,0,0,0,0,0,0,0
506,41,0,0,0,0,0,0,0,0
620,31,24,0,0,0,0,0,0,0
703,31,49,0,0,0,0,0,0,0
665,34,57,0,0,0,0,0,0,0
