,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
4566,"[150.66918170384372, -23.643380040064947]",74.441,0.106,1688.0,159.0,11610.578,2819.403,Jump_3,25.69109,02:22:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 02:22:00
4577,"[150.6699269449928, -23.538947934649702]",57.913,0.202,1916.0,211.0,14190.75,4037.475,Jump_4,2.49691,02:44:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 02:44:00
4596,"[150.4313714989576, -23.14261783043777]",59.526,0.129,1287.0,152.0,8903.098,2547.031,Jump_5,2.4912,03:22:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:22:00
4602,"[150.3856047369688, -23.05308148275864]",61.977,0.103,1147.0,100.0,7545.859,1839.344,Jump_6,2.62952,03:34:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:34:00
4611,"[150.9425157577834, -23.246428646948942]",116.639,0.038,1492.0,114.0,8817.641,1989.112,Jump_7,4.33808,03:52:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:52:00
5063,"[151.42817125611188, -24.31703692782306]",67.803,0.059,748.0,111.0,4926.547,2103.796,Jump_2,2.58066,01:30:00,23,"[151.2626, -23.855]","[27.375, 53.625, 191.0625, 137.625, 116.3125, 64.5625, 116.0, 121.0625, 81.375, 35.875, 55.375]","[16.5438, 11.0, 14.9125, 69.9, 57.0937, 40.7125, 34.9313, 71.025, 48.5125, 21.625, 21.3625]","['01:30:00', '01:35:00', '01:40:00', '01:45:00', '01:50:00', '01:55:00', '02:00:00', '02:05:00', '02:10:00', '02:15:00', '02:20:00']","[[-24.016052, 151.7746], [-24.088501, 150.9375], [-24.097473, 150.9375], [-24.034546, 150.95734], [-24.061584, 150.98682], [-24.07959, 151.00647], [-24.04364, 150.9967], [-24.025696, 151.03613], [-24.061707, 151.03607], [-24.061707, 151.06561], [-24.070862, 151.29218]]",11267,-32,0.1244,2021-11-22 01:30:00
5070,"[151.2886073759647, -24.263026249173095]",66.824,0.065,850.0,57.0,5603.398,1061.099,Jump_3,2.43467,01:44:00,23,"[151.2626, -23.855]","[137.625, 116.3125, 64.5625, 155.4375, 121.0625, 197.1875, 71.25, 89.5, 74.5625, 59.5]","[79.725, 59.1313, 36.3875, 39.475, 73.0, 51.6875, 35.0563, 30.65, 25.6688, 26.9813]","['01:45:00', '01:50:00', '01:55:00', '02:00:00', '02:05:00', '02:10:00', '02:15:00', '02:20:00', '02:25:00', '02:30:00']","[[-24.034546, 150.95734], [-24.061584, 150.98682], [-24.07959, 151.00647], [-23.96222, 150.79022], [-24.025696, 151.03613], [-23.935242, 150.80017], [-23.944214, 150.80011], [-23.899475, 150.86914], [-23.86383, 151.03644], [-23.845886, 151.05609]]",11324,-89,0.125,2021-11-22 01:44:00
5085,"[151.0499610400748, -23.949837091332725]",44.406,0.173,968.0,105.0,7385.635,2128.499,Jump_4,2.30521,02:14:00,23,"[151.2626, -23.855]","[133.0625, 130.5625, 147.3125, 110.3125, 111.9375, 178.875, 128.375, 141.75, 53.125, 77.0625]","[48.0312, 54.875, 61.9563, 41.6438, 42.1312, 52.6938, 53.0, 68.9688, 32.7188, 31.1875]","['02:15:00', '02:20:00', '02:25:00', '02:30:00', '02:35:00', '02:40:00', '02:45:00', '02:50:00', '02:55:00', '03:00:00']","[[-23.809082, 150.71216], [-23.818237, 150.76123], [-23.728027, 150.68298], [-23.710083, 150.69293], [-23.863892, 151.07574], [-23.565918, 150.62488], [-23.565918, 150.63464], [-23.556946, 150.6347], [-23.557007, 150.65436], [-23.52118, 150.6839]]",11389,-154,0.1257,2021-11-22 02:14:00
5089,"[150.66918170384372, -23.643380040064947]",74.441,0.106,1688.0,159.0,11610.578,2819.403,Jump_5,5.3127,02:22:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 02:22:00
5100,"[150.6699269449928, -23.538947934649702]",57.913,0.202,1916.0,211.0,14190.75,4037.475,Jump_6,2.49691,02:44:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 02:44:00
5119,"[150.4313714989576, -23.14261783043777]",59.526,0.129,1287.0,152.0,8903.098,2547.031,Jump_7,2.4912,03:22:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:22:00
5125,"[150.3856047369688, -23.05308148275864]",61.977,0.103,1147.0,100.0,7545.859,1839.344,Jump_8,2.62952,03:34:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:34:00
5134,"[150.9425157577834, -23.246428646948942]",116.639,0.038,1492.0,114.0,8817.641,1989.112,Jump_9,4.33808,03:52:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:52:00
5563,"[151.08820155929104, -24.337727884474326]",83.433,0.075,1562.0,74.0,8567.474,1450.975,Jump_0,9.55449,00:20:00,23,"[151.2626, -23.855]","[69.875, 63.75, 57.8125, 53.0, 28.375, 33.25, 101.6875, 73.25, 59.5625, 72.125, 39.75]","[23.0625, 29.475, 26.775, 21.3125, 14.5875, 15.3562, 44.6188, 38.8125, 27.9812, 24.5, 21.2062]","['00:20:00', '00:25:00', '00:30:00', '00:35:00', '00:40:00', '00:45:00', '00:50:00', '00:55:00', '01:00:00', '01:05:00', '01:10:00']","[[-23.99878, 151.43982], [-23.917908, 151.41016], [-23.92688, 151.42987], [-23.944824, 151.42987], [-24.3219, 150.78888], [-24.303894, 150.77911], [-24.32196, 150.8086], [-24.348999, 150.82825], [-23.971802, 151.43976], [-24.060669, 150.6618], [-24.11499, 150.76007]]",11260,-25,0.1243,2021-11-22 00:20:00
5598,"[151.42817125611188, -24.31703692782306]",67.803,0.059,748.0,111.0,4926.547,2103.796,Jump_3,2.58066,01:30:00,23,"[151.2626, -23.855]","[27.375, 53.625, 191.0625, 137.625, 116.3125, 64.5625, 116.0, 121.0625, 81.375, 35.875, 55.375]","[16.5438, 11.0, 14.9125, 69.9, 57.0937, 40.7125, 34.9313, 71.025, 48.5125, 21.625, 21.3625]","['01:30:00', '01:35:00', '01:40:00', '01:45:00', '01:50:00', '01:55:00', '02:00:00', '02:05:00', '02:10:00', '02:15:00', '02:20:00']","[[-24.016052, 151.7746], [-24.088501, 150.9375], [-24.097473, 150.9375], [-24.034546, 150.95734], [-24.061584, 150.98682], [-24.07959, 151.00647], [-24.04364, 150.9967], [-24.025696, 151.03613], [-24.061707, 151.03607], [-24.061707, 151.06561], [-24.070862, 151.29218]]",11267,-32,0.1244,2021-11-22 01:30:00
5605,"[151.2886073759647, -24.263026249173095]",66.824,0.065,850.0,57.0,5603.398,1061.099,Jump_4,2.43467,01:44:00,23,"[151.2626, -23.855]","[137.625, 116.3125, 64.5625, 155.4375, 121.0625, 197.1875, 71.25, 89.5, 74.5625, 59.5]","[79.725, 59.1313, 36.3875, 39.475, 73.0, 51.6875, 35.0563, 30.65, 25.6688, 26.9813]","['01:45:00', '01:50:00', '01:55:00', '02:00:00', '02:05:00', '02:10:00', '02:15:00', '02:20:00', '02:25:00', '02:30:00']","[[-24.034546, 150.95734], [-24.061584, 150.98682], [-24.07959, 151.00647], [-23.96222, 150.79022], [-24.025696, 151.03613], [-23.935242, 150.80017], [-23.944214, 150.80011], [-23.899475, 150.86914], [-23.86383, 151.03644], [-23.845886, 151.05609]]",11324,-89,0.125,2021-11-22 01:44:00
5620,"[151.0499610400748, -23.949837091332725]",44.406,0.173,968.0,105.0,7385.635,2128.499,Jump_5,2.30521,02:14:00,23,"[151.2626, -23.855]","[133.0625, 130.5625, 147.3125, 110.3125, 111.9375, 178.875, 128.375, 141.75, 53.125, 77.0625]","[48.0312, 54.875, 61.9563, 41.6438, 42.1312, 52.6938, 53.0, 68.9688, 32.7188, 31.1875]","['02:15:00', '02:20:00', '02:25:00', '02:30:00', '02:35:00', '02:40:00', '02:45:00', '02:50:00', '02:55:00', '03:00:00']","[[-23.809082, 150.71216], [-23.818237, 150.76123], [-23.728027, 150.68298], [-23.710083, 150.69293], [-23.863892, 151.07574], [-23.565918, 150.62488], [-23.565918, 150.63464], [-23.556946, 150.6347], [-23.557007, 150.65436], [-23.52118, 150.6839]]",11389,-154,0.1257,2021-11-22 02:14:00
5624,"[150.66918170384372, -23.643380040064947]",74.441,0.106,1688.0,159.0,11610.578,2819.403,Jump_6,5.3127,02:22:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 02:22:00
5635,"[150.6699269449928, -23.538947934649702]",57.913,0.202,1916.0,211.0,14190.75,4037.475,Jump_7,2.49691,02:44:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 02:44:00
5654,"[150.4313714989576, -23.14261783043777]",59.526,0.129,1287.0,152.0,8903.098,2547.031,Jump_8,2.4912,03:22:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:22:00
5660,"[150.3856047369688, -23.05308148275864]",61.977,0.103,1147.0,100.0,7545.859,1839.344,Jump_9,2.62952,03:34:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:34:00
5669,"[150.9425157577834, -23.246428646948942]",116.639,0.038,1492.0,114.0,8817.641,1989.112,Jump_10,4.33808,03:52:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:52:00
6124,"[150.9425157577834, -23.246428646948942]",116.639,0.038,1492.0,114.0,8817.641,1989.112,Jump_2,26.33218,03:52:00,47,"[150.467, -23.383]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-11-22 03:52:00
