,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
512,"[152.50461964768684, -27.422858366548063]",20.539,0.212,246.0,35.0,1106.805,944.341,Jump_5,3.02444,04:02:00,50,"[152.539, -27.608]","[3.3125, 5.9375, 'NaN', 'NaN', 'NaN']","[3.25, 5.8938, 'NaN', 'NaN', 'NaN']","['04:11:00', '04:21:00', '04:31:00', '04:41:00', '04:51:00']","[[-27.634949, 152.66083], [-27.71582, 152.70154], 'NaN', 'NaN', 'NaN']",11020.0,-31.0,0.1216,2021-11-11 04:02:00
532,"[152.95681029104486, -27.67705005223882]",18.676,0.122,126.0,8.0,537.817,195.338,Jump_6,3.73915,04:42:00,66,"[153.24, -27.7178]","[3.0, 6.125, 9.5, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 5.75]","[3.0, 5.95, 7.55, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 5.4125]","['04:45:00', '04:50:00', '04:55:00', '05:02:00', '05:07:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00']","[[-27.57373, 153.01678], [-27.609741, 153.03705], [-27.627747, 153.06744], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-27.717773, 153.34161]]",11030.0,-46.0,0.1217,2021-11-11 04:42:00
545,"[153.20235907843139, -27.684861970588244]",11.852,0.231,96.0,6.0,464.58,133.708,Jump_7,7.52392,05:08:00,66,"[153.24, -27.7178]","['NaN', 'NaN', 'NaN', 'NaN', 5.75, 6.75, 14.0, 9.375, 6.6875, 4.6875]","['NaN', 'NaN', 'NaN', 'NaN', 5.4125, 6.2188, 11.3375, 8.0625, 6.25, 4.6875]","['05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00']","['NaN', 'NaN', 'NaN', 'NaN', [-27.717773, 153.34161], [-27.735718, 153.3924], [-27.744629, 153.44324], [-27.75354, 153.49408], [-27.753479, 153.53473], [-27.591736, 153.45306]]",10937.0,47.0,0.1207,2021-11-11 05:08:00
563,"[153.49468062650604, -27.770476096385543]",6.135,0.702,53.0,30.0,409.785,734.272,Jump_8,2.479,05:46:00,66,"[153.24, -27.7178]","[6.6875, 4.6875, 3.5625, 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN']","[6.25, 4.6875, 3.5375, 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN']","['05:50:00', '05:55:00', '06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00']","[[-27.753479, 153.53473], [-27.591736, 153.45306], [-27.591675, 153.47339], 'NaN', 'NaN', [-27.735046, 153.6972], 'NaN', 'NaN', 'NaN', 'NaN']",10974.0,10.0,0.1211,2021-11-11 05:46:00
681,"[152.0519053181818, -27.243159893939392]",12.732,0.13,63.0,3.0,273.158,132.189,Jump_3,2.0884,03:10:00,50,"[152.539, -27.608]","['NaN', 8.1875, 4.625, 'NaN', 'NaN']","['NaN', 7.8563, 4.3125, 'NaN', 'NaN']","['03:11:00', '03:21:00', '03:31:00', '03:41:00', '03:51:00']","['NaN', [-27.445618, 152.15393], [-27.50879, 152.24493], 'NaN', 'NaN']",11057.0,-68.0,0.122,2021-11-11 03:10:00
689,"[152.20516548863637, -27.344724875000008]",18.035,0.086,88.0,0.0,576.828,0.0,Jump_4,4.57862,03:26:00,50,"[152.539, -27.608]","[4.625, 'NaN', 5.1875, 'NaN', 3.3125]","[4.3125, 'NaN', 4.9375, 'NaN', 3.25]","['03:31:00', '03:41:00', '03:51:00', '04:01:00', '04:11:00']","[[-27.50879, 152.24493], 'NaN', [-27.491089, 152.5694], 'NaN', [-27.634949, 152.66083]]",10986.0,3.0,0.1213,2021-11-11 03:26:00
694,"[152.22206832812506, -27.23515129687501]",33.846,0.036,114.0,14.0,543.872,241.55,Jump_5,2.81734,03:36:00,50,"[152.539, -27.608]","['NaN', 5.1875, 'NaN', 3.3125, 5.9375]","['NaN', 4.9375, 'NaN', 3.25, 5.8938]","['03:41:00', '03:51:00', '04:01:00', '04:11:00', '04:21:00']","['NaN', [-27.491089, 152.5694], 'NaN', [-27.634949, 152.66083], [-27.71582, 152.70154]]",11065.0,-76.0,0.1221,2021-11-11 03:36:00
707,"[152.50461964768684, -27.422858366548063]",20.539,0.212,246.0,35.0,1106.805,944.341,Jump_6,3.02444,04:02:00,50,"[152.539, -27.608]","[3.3125, 5.9375, 'NaN', 'NaN', 'NaN']","[3.25, 5.8938, 'NaN', 'NaN', 'NaN']","['04:11:00', '04:21:00', '04:31:00', '04:41:00', '04:51:00']","[[-27.634949, 152.66083], [-27.71582, 152.70154], 'NaN', 'NaN', 'NaN']",11020.0,-31.0,0.1216,2021-11-11 04:02:00
727,"[152.95681029104486, -27.67705005223882]",18.676,0.122,126.0,8.0,537.817,195.338,Jump_7,3.73915,04:42:00,66,"[153.24, -27.7178]","[3.0, 6.125, 9.5, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 5.75]","[3.0, 5.95, 7.55, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 5.4125]","['04:45:00', '04:50:00', '04:55:00', '05:02:00', '05:07:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00']","[[-27.57373, 153.01678], [-27.609741, 153.03705], [-27.627747, 153.06744], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-27.717773, 153.34161]]",11030.0,-46.0,0.1217,2021-11-11 04:42:00
740,"[153.20235907843139, -27.684861970588244]",11.852,0.231,96.0,6.0,464.58,133.708,Jump_8,7.52392,05:08:00,66,"[153.24, -27.7178]","['NaN', 'NaN', 'NaN', 'NaN', 5.75, 6.75, 14.0, 9.375, 6.6875, 4.6875]","['NaN', 'NaN', 'NaN', 'NaN', 5.4125, 6.2188, 11.3375, 8.0625, 6.25, 4.6875]","['05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00']","['NaN', 'NaN', 'NaN', 'NaN', [-27.717773, 153.34161], [-27.735718, 153.3924], [-27.744629, 153.44324], [-27.75354, 153.49408], [-27.753479, 153.53473], [-27.591736, 153.45306]]",10937.0,47.0,0.1207,2021-11-11 05:08:00
758,"[153.49468062650604, -27.770476096385543]",6.135,0.702,53.0,30.0,409.785,734.272,Jump_9,2.479,05:46:00,66,"[153.24, -27.7178]","[6.6875, 4.6875, 3.5625, 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN']","[6.25, 4.6875, 3.5375, 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN']","['05:50:00', '05:55:00', '06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00']","[[-27.753479, 153.53473], [-27.591736, 153.45306], [-27.591675, 153.47339], 'NaN', 'NaN', [-27.735046, 153.6972], 'NaN', 'NaN', 'NaN', 'NaN']",10974.0,10.0,0.1211,2021-11-11 05:46:00
